City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Lichuan,CN,48.88,overcast clouds,30.3,108.85,Yicheng Hotel
306,Klaksvik,FO,39.2,broken clouds,62.2266,-6.5889999999999995,Airbnb rooms
309,Spring Valley,US,51.01,sleet,36.108000000000004,-115.245,Westgate Flamingo Bay Resort
311,Zabaykalsk,RU,25.66,few clouds,49.6333,117.3167,Gostinitsa Zolotoy Drakon
315,Sorland,NO,38.89,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
316,Nemuro,JP,30.78,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
317,Kalamazoo,US,44.6,clear sky,42.2506,-85.55,Four Points by Sheraton Kalamazoo
322,Thompson,CA,24.8,scattered clouds,55.7435,-97.8558,Burntwood Hotel
326,Colares,PT,54.0,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
327,Gallipoli,TR,37.4,clear sky,40.4103,26.6708,Oya Hotel
328,Burriana,ES,53.01,clear sky,39.889,-0.085,Hotel Beatriz
343,Lata,PT,53.01,scattered clouds,40.1629,-8.3327,Casa Maquia
344,Ponferrada,ES,46.0,scattered clouds,42.5466,-6.5962,Hotel Temple Ponferrada
357,Muros,ES,51.01,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
361,Ilulissat,GL,10.4,scattered clouds,69.2167,-51.1,Hotel Arctic
365,Zhangye,CN,48.15,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
371,Sheridan,US,50.0,clear sky,44.8333,-106.9173,Comfort Inn & Suites
372,Huadian,CN,37.8,overcast clouds,42.9633,126.7478,Huadian Forestry Bureau
375,Silifke,TR,49.46,clear sky,36.3778,33.9344,Ayatekla Hotel
378,Labytnangi,RU,14.9,overcast clouds,66.6572,66.4183,Priuralye Hotel
381,Andenes,NO,32.0,overcast clouds,69.3143,16.1194,Hotell Marena
385,Xining,CN,35.85,clear sky,36.6167,101.7667,Super Leisure Hotel
387,Gdov,RU,35.17,overcast clouds,58.7406,27.8122,Ustje Beach Resort
391,Antigonish,CA,50.0,clear sky,45.6169,-61.9986,Claymore Inn and Suites
399,Smiths Falls,CA,42.8,broken clouds,44.9001,-76.0161,Best Western Smiths Falls Hotel
400,Chapleau,CA,15.8,few clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
402,Rapid Valley,US,50.0,overcast clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
404,Skjervoy,NO,27.25,overcast clouds,70.0311,20.9714,Skjervøy Byggeservice AS
407,Abashiri,JP,28.0,clear sky,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
408,Bingol,TR,23.27,clear sky,38.8847,40.4939,Vali Konağı
412,Hit,IQ,51.82,clear sky,33.6416,42.8251,صالون زيرو
414,Louga,RU,35.22,overcast clouds,58.7372,29.8453,U Lysoy Gory Hotel
416,Postojna,SI,42.01,overcast clouds,45.7769,14.2167,Hotel Epicenter
421,Puhja,EE,37.99,overcast clouds,58.3419,26.3147,Sääniku talu puhkekeskus
425,Zagare,LT,37.4,overcast clouds,56.3592,23.25,AnasNamas
426,Baykalsk,RU,31.01,broken clouds,51.5058,104.1469,Park-Otel' Belyy Sobol'
430,Dongsheng,CN,37.35,clear sky,39.8161,109.9776,Crowne Plaza Ordos
433,Beringovskiy,RU,32.16,snow,63.05,179.3167,Beringgorski
434,Ingham,US,44.01,clear sky,42.6,-84.3833,Sunset Place
436,High Level,CA,28.4,broken clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
443,Kizukuri,JP,43.0,broken clouds,40.8061,140.3861,Hotel memory
444,High Prairie,CA,46.4,overcast clouds,55.4334,-116.4858,Royal Star Motor Inn
445,Nusaybin,TR,41.95,clear sky,37.0778,41.2178,Aydinlar Hotel
446,Zaysan,KZ,30.34,snow,47.4667,84.8667,Ерлан үй
448,Sitka,US,35.6,light snow,57.0531,-135.33,Westmark Sitka
451,Mingshui,CN,53.01,broken clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
457,Safranbolu,TR,32.38,broken clouds,41.2508,32.6942,Canbulat & Canbulat Tourism
459,Ghedi,IT,48.99,mist,45.4011,10.2793,Hotel La Piana
468,Fort Nelson,CA,30.2,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
469,Brae,GB,41.0,broken clouds,60.3964,-1.3530000000000002,Busta House Hotel
473,Shieli,KZ,16.45,overcast clouds,44.1667,66.75,Gostinitsa Aybek Shieli
476,Uyemskiy,RU,17.6,clear sky,64.4743,40.8524,Malyye Karely
480,Siirt,TR,32.25,clear sky,37.9326,41.9403,Barden Otel
481,Farsund,NO,39.99,clear sky,58.0948,6.8047,Farsund Fjordhotel
487,Miyako,JP,43.77,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
490,Huron,US,51.01,broken clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
492,Nanortalik,GL,14.85,clear sky,60.1432,-45.2371,Hotel Kap Farvel
495,Suicheng,CN,44.92,overcast clouds,33.8963,117.9331,Junyue Hotel
496,Yuanping,CN,41.18,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
497,Syracuse,IT,53.6,clear sky,37.0881,15.2792,Hotel Posta
499,Trzebiatow,PL,43.0,overcast clouds,54.0615,15.2648,MNE Apartament
506,Larsnes,NO,39.0,overcast clouds,62.2028,5.5773,Liset Feriesenter AS
507,Hovd,MN,30.24,broken clouds,48.0056,91.6419,Hotel Khovd
515,Akureyri,IS,30.2,light snow,65.6835,-18.0878,Icelandair Hotel Akureyri
516,Vestmannaeyjar,IS,35.51,overcast clouds,63.4427,-20.2734,Glamping & Camping
523,Husavik,IS,30.2,light snow,66.0449,-17.3389,Bjarnabúð
526,La Ronge,CA,41.0,broken clouds,55.1001,-105.2842,Northland Motor Hotel
528,Salmas,IR,32.0,light snow,38.1973,44.7653,Ata Hotel
533,Abrau-Dyurso,RU,26.6,overcast clouds,44.69,37.59,Avgustin Inn
541,Kletnya,RU,23.38,snow,53.3897,33.2171,Gostinitsa-Otel' Kletnya
542,Changji,CN,32.0,overcast clouds,44.0167,87.3167,Lvye Holiday Resort
547,Lohmar,DE,45.0,scattered clouds,50.8333,7.2167,Kaiserhof
558,Sisimiut,GL,14.2,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
561,Jiayuguan,CN,44.4,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
562,Penarroya-Pueblonuevo,ES,50.0,clear sky,38.3,-5.2667,Casa Rural Los Miraderos De Cristina
567,Ciro Marina,IT,48.2,clear sky,39.3732,17.125999999999998,Hotel Miramare
570,Kumla,SE,39.2,broken clouds,59.1277,15.1434,Kumla Hotel
574,Ulagan,RU,20.46,broken clouds,50.6321,87.9563,Gostevoy Dom
582,Weihai,CN,41.85,broken clouds,37.5017,122.1136,Beihai Travel Resort
583,Collie,AU,46.0,clear sky,-33.3667,116.15,Collie Ridge
584,Verbilki,RU,19.4,snow,56.5333,37.6,Country Resort
590,Berlevag,NO,23.0,light snow,70.8578,29.0864,Kvitbrakka
596,Tongliao,CN,32.47,clear sky,43.6125,122.2653,Meirujia Hotel
599,Petropavlovsk-Kamchatskiy,RU,21.2,broken clouds,53.0452,158.6483,"ООО ""Гостиничный комплекс ""Петропавловск"""
601,Sechelt,CA,48.99,broken clouds,49.4664,-123.7694,The Driftwood Inn
608,Nuuk,GL,15.8,few clouds,64.1835,-51.7216,Vandrehuset
609,Roald,NO,41.0,scattered clouds,62.5833,6.1333,Flem Cabins
